,x,y,z
0,216.088516,37.376932,1.0
1,215.567001,14.903391,1.0
2,220.399743,37.684866,1.0
3,221.557887,15.720538,1.0
4,137.920553,25.434288,1.0
5,133.381482,22.696494,1.0
6,76.5,2.5,1.0
7,87.75,2.530496,1.0
8,208.478575,4.690042,1.0
9,194.249164,2.530496,1.0
10,23.751074,13.928717,1.0
11,37.019126,8.050466,1.0
12,211.436717,45.549468,1.0
13,210.873798,41.995649,1.0
14,213.226673,12.581322,1.0
15,4.623142,77.75,1.0
16,4.623142,43.324236,1.0
17,49.453241,67.395097,1.0
18,64.5,2.5,1.0
19,74.5,3.5,1.0
20,63.25,2.5,1.0
21,194.250056,6.0233,1.0
22,194.906819,6.0,1.0
23,8.375,78.375,1.0
24,8.375,43.717055,1.0
25,44.988232,73.650056,1.0
26,167.756379,43.430115,1.0
27,169.708995,41.736141,1.0
28,60.399277,6.324545,1.0
29,81.627168,6.273325,1.0
30,185.250056,6.0233,1.0
31,186.250056,7.0233,1.0
32,106.371612,13.771814,1.0
33,108.681308,14.567107,1.0
34,25.605329,17.237744,1.0
35,40.841082,10.487727,1.0
36,42.737827,53.633941,1.0
37,41.788382,53.9154,1.0
38,41.05589,47.96028,1.0
39,40.106445,48.24174,1.0
40,42.835494,62.428364,1.0
41,40.068777,39.935109,1.0
42,59.25,18.25,1.0
43,117.400363,18.25,1.0
44,35.691155,39.193975,1.0
45,45.902029,14.307398,1.0
46,115.75,15.75,1.0
47,120.875,15.75,1.0
48,111.226492,15.273552,1.0
49,148.196108,31.632109,1.0
50,147.0,29.742842,1.0
51,149.789392,30.847059,1.0
52,158.868839,35.155613,1.0
53,148.593285,28.957792,1.0
54,159.970586,35.820145,1.0
55,131.679919,18.756298,1.0
56,117.373642,6.187075,1.0
57,81.788255,5.29623,1.0
58,87.458008,7.259338,1.0
59,87.62715,6.258848,1.0
60,80.915278,4.997994,1.0
61,75.941776,3.741271,1.0
62,95.025389,9.864997,1.0
63,96.590858,11.461651,1.0
64,90.553691,10.451376,1.0
65,99.75,2.530496,1.0
66,97.75,3.530496,1.0
67,107.371258,5.211206,1.0
68,105.373677,6.216029,1.0
69,172.631831,10.117285,1.0
